,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,"No Idea","Don Toliver",663145,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
160,"Chromatica I","Lady Gaga",662339,https://open.spotify.com/track/3CGZ7wfk4skmuyQgua1C1K
161,Jangueo,"Alex Rose",662264,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
162,"Get You The Moon (feat. Snøw)",Kina,659584,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
163,Sucker,"Jonas Brothers",659049,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
164,July,"Noah Cyrus",658774,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
165,"Old Town Road - Remix","Lil Nas X",657673,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
166,"Lose You To Love Me","Selena Gomez",655650,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
167,"Make You Mine",PUBLIC,654495,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
168,Moonlight,XXXTENTACION,650836,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
169,Wow.,"Post Malone",649387,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
170,"Go Crazy","Chris Brown",647688,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
171,"The Less I Know The Better","Tame Impala",646012,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
172,"In meinem Benz","AK AUSSERKONTROLLE",645475,https://open.spotify.com/track/6BXyD6UUPizpRpA7iOi99r
173,Surrender,"Natalie Taylor",645097,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
174,"What A Man Gotta Do","Jonas Brothers",642627,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
175,Secrets,Regard,641749,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
176,Vete,"Bad Bunny",636778,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
177,"La Santa","Bad Bunny",635578,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
178,"All of Me","John Legend",635524,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
179,"No Me Conoce - Remix","Jhay Cortez",634484,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
180,"Turks (with Gunna & ft. Travis Scott)",NAV,634111,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
181,"Lights Up","Harry Styles",631653,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
182,"Money In The Grave (Drake ft. Rick Ross)",Drake,630205,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
183,"I Like Me Better",Lauv,629080,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
184,"Let Me Down Slowly","Alec Benjamin",624317,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
185,Reggaetonera,"Anuel AA",624080,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
186,"BAD CON NICKY","Bad Bunny",623519,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
187,Airwaves,Pashanim,621208,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
188,"Something Just Like This","The Chainsmokers",620850,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
189,"El Efecto - Remix","Rauw Alejandro",619698,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
190,"Better Now","Post Malone",617549,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
191,"My Oh My (feat. DaBaby)","Camila Cabello",617387,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
192,"High Hopes","Panic! At The Disco",615827,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
193,"LA CANCIÓN","J Balvin",615484,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
194,"You should be sad",Halsey,615365,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
195,Freedom,Kygo,612166,https://open.spotify.com/track/2nx0EIlIKMnMgWnj40O0HQ
196,"Piece Of Your Heart",MEDUZA,610620,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
197,"Dancing With A Stranger (with Normani)","Sam Smith",608512,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
198,Riptide,"Vance Joy",608141,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
199,Jangueo,"Anuel AA",607312,https://open.spotify.com/track/7KKh0ujp8agIiCrkiJhf81
200,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",606483,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
