,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
126,Favorito,Camilo,887666,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
127,"Caramelo - Remix",Ozuna,877708,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
128,"All Girls Are The Same","Juice WRLD",872887,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
129,"Be Kind (with Halsey)",Marshmello,870168,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
130,"Quiéreme Mientras Se Pueda","Manuel Turizo",860372,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
131,"Martin & Gina","Polo G",857172,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
132,Madrid,Maluma,856748,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
133,BICHOTA,"KAROL G",849962,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
134,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",848780,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
135,"Someone To You",BANNERS,847951,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
136,"Chica Ideal","Sebastian Yatra",844416,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
137,"Sweet Melody","Little Mix",842814,https://open.spotify.com/track/28xX6K8LnkZve4RiuEB3iK
138,"Bohemian Rhapsody - 2011 Mix",Queen,838074,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
139,Relación,Sech,837637,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
140,"Jocelyn Flores",XXXTENTACION,836466,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
141,Perfect,"Ed Sheeran",826153,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
142,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",825472,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
143,"I Don't Care (with Justin Bieber)","Ed Sheeran",822896,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
144,"Say So","Doja Cat",820445,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
145,"Got It On Me","Pop Smoke",819580,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
146,"Shape of You","Ed Sheeran",817224,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
147,MAMACITA,"Black Eyed Peas",815528,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
148,"everything i wanted","Billie Eilish",815307,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
149,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,808283,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
